brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Tênis Olympikus Masculino Leve Caminhada Sonoro Br Original,329,99,31,99,,
,Tenis Casual Knu Skool Black White Preto E Branco Lançamento,267,90,160,74,,
ASICS,Tênis De Corrida Asics Gel-hypersonic 5 Preto Marinho,599,90,59,,,
OLYMPIKUS,Tênis Olympikus Inverse Preto Unissex,350,,35,,,
OLYMPIKUS,Tênis Masculino Olympikus Giro Caminhada E Corrida,299,99,33,33,,
OLYMPIKUS,Tênis Olympikus Mescla,289,99,28,11,,
UNDER ARMOUR,Tênis Under Armour Ch Quicker Preto/militar,359,90,35,99,,
,Tênis Masculino Ecotênis Caminhada Corrida Academia Conforto,68,90,22,97,,
,Tênis Ecotênis Conforto Extra Leve Treino Academia Caminhada,64,90,21,63,,
OLYMPIKUS,Tênis Olympikus Dynamic Steel Esportivo Academia Original,279,99,27,15,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Masculino,299,90,33,32,,
NIKE,Tênis Nike Winflo 11 Masculino,699,99,67,86,,
,Tênis Para Treino Academia Corrida Caminhada Extra Leve,58,90,19,63,,
SKECHERS,Tênis Skechers Go Run Lite Masculino Preto,449,90,44,,,
ASICS,Tênis De Corrida Asics Gel-hypersonic 5 Preto Marinho,599,90,59,,,
OLYMPIKUS,Tênis Esportivo Olympikus Cyber 4 Preto Masculino Original,279,90,31,10,,
OLYMPIKUS,Tenis Olympikus Titanium 43281293-pewter,399,35,38,72,,
OLYMPIKUS,Tênis Olympikus Masculino Leve Caminhada Sonoro Br Original,329,99,31,99,,
OLYMPIKUS,Tênis Original Olympikus Challenger 5 Corrida Leve Masculino,299,99,33,33,,
OLYMPIKUS,Tênis Olympikus Beats Preto E Branco - Masculino,299,99,33,33,,
OLYMPIKUS,Tenis Olympikus Bloco 43558357-ptopt,259,35,25,14,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Tecnologia Eleva Gripper Envio Já,379,99,38,,,
FILA,Tênis Fila Progress Lite Unissex Preto Vermelho,309,90,30,99,,
MIZUNO,Tênis Mizuno Hawk 5 Masculino Preto E Branco Original,384,98,349,45,,
FILA,Tênis Fila Caminhada Corrida Macio Leve Confortável,299,99,33,33,,
ASICS,Tênis Asics Novablast 4 Platinum 2024 - Blue Exp/champagne,1.099,90,109,,,
